name,state,district,category,lat,lng,image_url,image_attribution,source
"Mughal Kos Minar, Three Miles of north-west of Dakhni Sarai",Punjab,Jalandhar,,31.184514,75.362002,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Theh Gatti (Mound),Punjab,Jalandhar,,31.040166,75.835166,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"The tomb, viz. the first octagonal and known as the tomb of Mohammad Momin, the âUstadâ, now empty, and the other square and known as the tomb of Haji Jamal, his pupil; the latter, contains 5 grav",Punjab,Jalandhar,Monument / Tomb,31.12738,75.474533,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sarai including gateway,Punjab,Jalandhar,,31.092833,75.594333,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Mound,Punjab,Jalandhar,,31.031333,75.849333,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Maharaja Ranjit Singh Fort at Phillar,Punjab,Jalandhar,Fort,31.011226,75.789412,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar near the village of Rajputan,Punjab,Ludhiana,,30.732818,76.11955,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar near the Sarai of Lashkari Khan,Punjab,Ludhiana,,30.757651,76.0854,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar about one mile east of Ludhiana,Punjab,Ludhiana,,30.905657,75.881248,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Site of Sunet,Punjab,Ludhiana,,30.883666,75.806,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar near the village of Sunnahwal,Punjab,Ludhiana,,30.835807,75.985967,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mound near collage compound,Punjab,Ropar,,30.9715,76.523666,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ram bagh gate,Punjab,Amritsar,,31.63635,74.878785,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.787834,79.91697,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.770909,79.960037,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.670965,80.12707,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns with stone circles,Tamil Nadu,Kanchipuram,,12.888203,79.893307,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns with stone circles,Tamil Nadu,Kanchipuram,,12.888148,79.893993,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns with stone circles,Tamil Nadu,Kanchipuram,,12.887533,79.895257,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Prehistoric site,Tamil Nadu,Turicorin,,8.632352,77.877422,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Prehistoric site,Tamil Nadu,Turicorin,,8.629152,77.874678,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kailasanatha Temple,Tamil Nadu,Pudukkottai,Temple,10.456727,78.792998,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Natural cavern called Andarmatam,Tamil Nadu,Pudukkottai,,10.335981,78.588446,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Cavern on the western side of the Kudumiamalai temple hill,Tamil Nadu,Pudukkottai,Temple,10.415917,78.65756,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Musical Inscriptions,Tamil Nadu,Pudukkottai,,10.416217,78.658481,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rock-cut shrine called Melakkovil with mantapam in front,Tamil Nadu,Pudukkottai,,10.416453,78.658623,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sikhanathaswami temple,Tamil Nadu,Pudukkottai,Temple,10.41641,78.659294,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jain tirthankara image and inscribed stone slab,Tamil Nadu,Pudukkottai,,10.561456,78.991286,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Cave in Sittharmalai,Tamil Nadu,Madurai,,10.074225,77.845213,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mandapakkadu (Structure with mound),Tamil Nadu,Coimbatore,,10.948218,77.051277,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mosque with its dalans and courtyard and the Bara Gumbaz Mosque,Delhi,New Delhi,,28.593048,77.220364,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Tomb of Sikander Lodi with its enclosure wall and bastions, gates & compound",Delhi,New Delhi,Monument / Tomb,28.596297,77.221546,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Mazar of Shaikh Nabi Karim Muhammad Ibrahim Zauq, Nabi Karim, Paharganj",Delhi,Central,Monument / Tomb,28.648371,77.214106,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Portion of the City Wall of Shahajanabad, near Delhi Gate",Delhi,Central,,28.640912,77.243758,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ashoka'a pillar on Bridge at Firozabad,Delhi,Central,,28.635765,77.245389,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mutiny telegraph Memorial,Delhi,North,,28.66234,77.23422,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tomb of Razya Begum in Mohalla Bulbuli Khana,Delhi,Central,Monument / Tomb,28.64497,77.231777,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"The Pirghaib. To the north of and near Hindu Rao's House on the ridge, Delhi",Delhi,North,,28.676435,77.213274,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Flag  Staff Tower,Delhi,North,,28.687912,77.218164,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
D’Eremao Cemetery,Delhi,North,,28.66495,77.196835,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Lal Darwaza, the northern gate of the outer walls of the Delhi of Shershah.",Delhi,Central,,28.635897,77.241002,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Lothian Road Cemetery,Delhi,North,,28.661354,77.236313,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Chauburji, situated between mosque, the Flag Staff  and Hindu Rao’s House on Ridge, Delhi",Delhi,North,,28.681568,77.215242,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gateways of Badli-Ki-Sarai,Delhi,North West,,28.719306,77.167233,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gateways of Badli-Ki-Sarai,Delhi,North West,,28.718661,77.167834,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Site of Siege battery Known as the Sammy House Battery.,Delhi,North,,28.670293,77.213571,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Khair-ul-Manazil,Delhi,New Delhi,,28.607509,77.239593,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Marble Tomb reputed to be that of Nawab Bahadur Jawid Khan in Village of Aliganj,Delhi,South,Monument / Tomb,28.580845,77.216185,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Baoli immediately to the west of Hindu Rao's House.,Delhi,North,Stepwell / Baoli,28.67602,77.21226,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
FORT,Rajasthan,JODHPUR,Fort,26.353889,73.031944,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Summer Palace of Maharaja Ranjit Singh,Punjab,Amritsar,Palace / Haveli,31.637666,74.877166,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gateway of the old Sarai Akbar or Jahangir,Punjab,Taran Taran,,31.510666,74.692823,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gateway of the old Sarai Akbar or Jahangir,Punjab,Taran Taran,,31.38,75.100333,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Bhatinda Fort,Punjab,Bhatinda,Fort,30.208,74.937166,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient site and Buddhist Stupa,Punjab,Fatehgarh Sahib,,30.789438,76.391834,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Buddhist Stupa (SGL-11),Punjab,Fatehgarh Sahib,,30.793116,76.395266,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
The mound about 60 feet high known as Mud fort situated in field No.1787/1/1,Punjab,Fazilka,Fort,30.155,74.202833,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Baradari, generally known as Anarkali",Punjab,Gurdaspur,,31.814166,75.2125,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Shamsher Khan's Tomb,Punjab,Gurdaspur,Monument / Tomb,31.812,75.213166,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Takht-i-Akbari,Punjab,Gurdaspur,,32.018,75.164553,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,Punjab,Jalandhar,,31.113962,75.520936,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,Punjab,Jalandhar,,31.088113,75.607064,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
